Nominal CL_scaled,Nominal AK_scaled,Nominal TF_scaled,Nominal TO_scaled,Total_Mutasi_scaled,Selisih_Final_scaled,Jumlah_Titik_Mutasi,Hari,Hari_dalam_Minggu,Akhir_Pekan,Is_Outlier_Nominal,Jenis_Bayar_Encoded,Akun_Closing_Encoded
-0.23225248184016545,-0.16293074889034664,-0.17726053497137864,-0.38434151536826466,-0.21630949488848308,0.09268579804473148,1,16,5,1,0,9,0
0.23608463545167363,0.26864159123373255,-0.17726053497137864,-0.38434151536826466,0.02661342692899714,0.09268579804473148,1,26,1,0,0,9,0
0.1989371518537659,0.23435534340018518,0.3896153779711246,-0.38434151536826466,0.34166600191670454,-0.2306256557354625,2,16,5,1,1,9,2
-0.22783631696052364,-0.35964744345853156,-0.17726053497137864,1.7817026891706205,-0.21404974677855304,0.09271566427881912,1,29,4,0,0,9,0
-0.22783631696052364,-0.35964744345853156,-0.17726053497137864,3.2257321588632104,-0.13872480978088475,0.01987119089434236,1,13,2,0,0,9,0
-0.02319550592978229,0.02977131925807943,-0.17726053497137864,-0.38434151536826466,-0.10784158561184075,0.09265520336591,1,11,0,0,0,9,0
-0.11798839067776615,-0.017065988972440792,-0.17726053497137864,-0.38434151536826466,-0.13420531356102464,0.07060153904875967,1,15,4,0,0,9,0
0.42565733507460063,-0.35964744345853156,-0.17726053497137864,-0.38434151536826466,-0.3270371522750555,0.5297825045856797,0,13,2,0,0,9,0
-0.27927643283249737,-0.20642253510440112,-0.17726053497137864,-0.38434151536826466,-0.24079009941272528,0.09277248296805901,1,31,6,1,0,9,0
-0.0826155053971627,-0.35964744345853156,-0.17726053497137864,3.2257321588632104,-0.13872480978088475,0.09271566427881912,1,13,2,0,0,9,0
0.6927648781993218,0.6894172627062736,0.8238955642918044,-0.38434151536826466,0.8539554179340665,-0.47833547281357724,2,1,4,0,1,9,0
-0.22783631696052364,-0.35964744345853156,-0.17726053497137864,1.7817026891706205,-0.21404974677855304,0.09271566427881912,1,7,3,0,0,9,0
-0.22783631696052364,-0.15891612247058776,0.014303803376178868,-0.38434151536826466,-0.1010623412820506,-0.01655104579789602,2,2,5,1,0,9,0
3.7935457864462867,3.5467847942878428,3.550773053610438,-0.38434151536826466,4.070658644459812,-2.0337237805241344,2,22,4,0,1,3,2
-0.22783631696052364,-0.15891612247058776,-0.17726053497137864,-0.38434151536826466,-0.21404974677855304,0.09271566427881912,1,4,0,0,0,9,0
-0.2399883944721457,-0.04383016510416663,-0.17726053497137864,-0.38434151536826466,-0.1492703009605583,0.023973791635356092,1,19,1,0,0,9,0
-0.0826155053971627,-0.35964744345853156,-0.17726053497137864,3.2257321588632104,-0.13872480978088475,0.09271566427881912,1,13,2,0,0,9,0
0.42565733507460063,0.4432778404932437,-0.17726053497137864,-0.38434151536826466,0.12491246971095425,0.09271566427881912,1,25,0,0,0,9,0
-0.22783631696052364,-0.35964744345853156,-0.17726053497137864,1.7817026891706205,-0.21404974677855304,0.09271566427881912,1,7,3,0,0,9,0
-0.2693796345244543,-0.1970550734582971,-0.17726053497137864,-0.38434151536826466,-0.2355173538228885,0.09263772069229773,1,29,4,0,0,9,0
-0.20273635188991235,-0.13549746835532764,-0.17726053497137864,-0.38434151536826466,-0.2008678828039611,0.09255832021630865,1,6,2,0,0,9,0
-0.03910880246089538,0.015051022385630218,-0.17726053497137864,-0.38434151536826466,-0.11612732868158426,0.09268579804473148,1,15,4,0,0,9,0
0.42565733507460063,0.4432778404932437,-0.17726053497137864,-0.38434151536826466,0.12491246971095425,0.09271566427881912,1,19,1,0,0,9,0
0.42565733507460063,0.4432778404932437,-0.17726053497137864,-0.38434151536826466,0.12491246971095425,0.09271566427881912,1,19,1,0,0,9,0
0.2504397126747119,0.281814918725768,0.4349075730344321,-0.38434151536826466,0.3950939797291507,-0.25645994822126716,2,29,4,0,1,9,2
-0.39484025025838876,-0.3128101352280113,-0.17726053497137864,-0.38434151536826466,-0.3006734243258716,0.09271566427881912,1,2,5,1,0,9,0
-0.2399883944721457,-0.1696217929232781,-0.17726053497137864,-0.38434151536826466,-0.2200757417383665,0.09244759661676424,1,19,1,0,0,9,0
-0.13503440953907347,-0.07339922689449735,0.0959153198945943,-0.38434151536826466,-0.004791045804070722,-0.06310157806951205,2,12,1,0,0,9,2
-0.3059404260436461,-0.35964744345853156,-0.17726053497137864,-0.38434151536826466,-0.3270371522750555,0.16280443123516114,0,20,2,0,0,9,0
-0.4456675343055651,-0.35964744345853156,0.3317859355107639,-0.38434151536826466,-0.026794213150459604,-0.19764022129750375,1,23,5,1,0,7,7
-0.30484691333257397,-0.22984118921966123,-0.17726053497137864,-0.38434151536826466,-0.2539719633873172,0.09269381093680377,1,11,0,0,0,9,0
-0.4456675343055651,-0.35964744345853156,-0.10063479963235564,-0.38434151536826466,-0.2818421900764545,0.04900898024813306,1,7,3,0,0,7,7
0.5512108921279356,0.559032902262958,-0.17726053497137864,-0.38434151536826466,0.19006854021393732,0.09268434115526379,1,17,6,1,0,0,0
-0.22783631696052364,-0.15891612247058776,-0.17726053497137864,-0.38434151536826466,-0.21404974677855304,0.09271566427881912,1,15,4,0,0,9,0
-0.21300636768367323,-0.1448649300014317,-0.17726053497137864,-0.38434151536826466,-0.20614062839379785,0.09250587219547182,1,6,2,0,0,9,0
-0.22783631696052364,-0.15891612247058776,-0.17726053497137864,-0.38434151536826466,-0.21404974677855304,0.09271566427881912,1,1,4,0,0,9,0
0.822545813077266,-0.35964744345853156,-0.17726053497137864,-0.38434151536826466,-0.3270371522750555,0.7288664503454547,0,11,0,0,0,0,2
-0.4456675343055651,0.4432778404932437,-0.17726053497137864,-0.38434151536826466,0.12491246971095425,-0.3443511760280415,1,8,4,0,0,8,7
